YEARDAY,LON,LAT
120.5895833,-63.96439791,36.25472188
120.6354167,-63.99274349,36.24422908
120.68125,-64.02259111,36.23384357
120.6868056,-64.02694702,36.23347878
120.7256944,-64.05029297,36.23245955
120.7715278,-64.07406807,36.23461604
120.8173611,-64.10121202,36.24540925
120.8631944,-64.12406445,36.26277924
120.9090278,-64.14275408,36.28180146
120.9555556,-64.15163755,36.30006194
121.0013889,-64.15685177,36.3193202
121.0458333,-64.15431976,36.33681893
121.0916667,-64.1500926,36.35131359
121.1375,-64.14618731,36.36255741
121.1833333,-64.13814068,36.37786746
121.1875,-64.1379261,36.37880087
121.2291667,-64.13481474,36.38903618
121.275,-64.12912846,36.39958262
121.3208333,-64.12533045,36.41206026
121.3652778,-64.11957979,36.4358139
121.4118056,-64.11189795,36.46651983
121.4576389,-64.10256386,36.49670005
121.5034722,-64.08509731,36.52327538
121.5493056,-64.06110764,36.54441118
121.5951389,-64.03336287,36.5583694
121.6409722,-64.00222778,36.56806827
121.6868056,-63.97371054,36.59265876
121.73125,-63.93712521,36.6180861
121.7777778,-63.88899565,36.64151788
121.8236111,-63.83069515,36.65580869
121.8694444,-63.77089262,36.6580081
121.9152778,-63.71259212,36.65647388
121.9611111,-63.65427017,36.64548755
122.0055556,-63.59107733,36.63068175
122.0513889,-63.53277683,36.60943866
122.0972222,-63.47434759,36.58337832
122.1430556,-63.41739893,36.55339122
122.1875,-63.36965561,36.52435899
122.2354167,-63.32120419,36.49358869
122.28125,-63.27700138,36.46352649
122.3270833,-63.23968649,36.43434405
122.3715278,-63.21093321,36.40772581
122.4173611,-63.18679333,36.38388634
122.4631944,-63.16396236,36.36069059
122.5090278,-63.14289093,36.3393724
122.5555556,-63.11744213,36.32136941
122.6013889,-63.08583498,36.30889177
122.6472222,-63.05248976,36.29637122
122.6868056,-63.01877975,36.28387213
122.6916667,-63.01478863,36.2823379
122.7375,-62.97071457,36.26341224
122.7833333,-62.92799234,36.23912215
122.8291667,-62.88430452,36.21512175
122.875,-62.84035921,36.18800998
122.9208333,-62.80029774,36.16420269
122.9673611,-62.76354074,36.14142537
123.0118056,-62.72716999,36.117661
123.0576389,-62.7009058,36.09283447
123.1034722,-62.67959833,36.07512116
123.1493056,-62.65805483,36.05883479
123.1875,-62.64116764,36.04573488
123.1951389,-62.63818502,36.04338527
123.2409722,-62.61552572,36.02987766
123.2868056,-62.58700848,36.01743221
123.33125,-62.56228924,36.00256205
123.3777778,-62.53501654,35.99246621
123.4236111,-62.50137091,35.98927975
123.4694444,-62.46508598,35.99301338
123.5152778,-62.42839336,35.99955797
123.5611111,-62.38833189,36.00545883
123.6069444,-62.34151125,36.01286173
123.6513889,-62.29179382,36.01908445
123.6868056,-62.25211859,36.01892352
123.6972222,-62.24091768,36.01834416
123.7430556,-62.18963385,36.01271153
123.7895833,-62.13045359,36.00681067
123.8354167,-62.0761013,35.99918246
123.88125,-62.02153444,35.9901917
123.9270833,-61.97859764,35.97549319
123.9715278,-61.93939447,35.96185684
124.0173611,-61.89969778,35.94823122
124.0631944,-61.86279058,35.93254566
124.1090278,-61.82747126,35.92233181
124.1555556,-61.79378271,35.9165597
124.1875,-61.76683187,35.91491818
124.2013889,-61.75567389,35.91456413
124.2472222,-61.71355248,35.91632366
124.2916667,-61.66398525,35.91846943
124.3388889,-61.60744429,35.9229219
124.3833333,-61.54399395,35.93470216
124.4291667,-61.47339821,35.94554901
124.475,-61.39391899,35.95390677
124.5208333,-61.31059885,35.95785499
124.5673611,-61.23384476,35.96361637
124.6118056,-61.15054607,35.97405553
124.6576389,-61.06439352,35.9898591
124.6888889,-61.00401163,36.00011587
124.7034722,-60.97384214,36.00771189
124.7493056,-60.88084459,36.02898717
124.7951389,-60.78295469,36.04898572
124.8409722,-60.68324089,36.06976748
124.8868056,-60.59011459,36.08357549
124.93125,-60.50441265,36.09333873
124.9777778,-60.42536259,36.10424995
125.0236111,-60.34884453,36.11265063
125.0694444,-60.27711153,36.12160921
125.1152778,-60.21357536,36.12502098
125.1611111,-60.15978098,36.13043904
125.1875,-60.13049126,36.13771319
125.2069444,-60.10976315,36.14176869
125.2527778,-60.05935907,36.15168214
125.2972222,-60.01346111,36.15700364
125.3430556,-59.97633934,36.16132736
125.3895833,-59.94329453,36.16549015
125.4354167,-59.9125886,36.17872953
125.48125,-59.88241911,36.20109916
125.5270833,-59.85124111,36.23251319
125.5715278,-59.80545044,36.26219988
125.6173611,-59.75910187,36.28833532
125.6631944,-59.70745325,36.30925655
125.6868056,-59.68028784,36.3244915
125.7090278,-59.65565443,36.34542346
125.7555556,-59.60055113,36.38284564
125.8013889,-59.54252958,36.4118135
125.8472222,-59.48697567,36.43475175
125.8916667,-59.43665743,36.45212173
125.9375,-59.38417196,36.46441698
125.9833333,-59.33752298,36.47052169
126.0291667,-59.304564,36.48314953
126.075,-59.26613331,36.49201155
126.1208333,-59.23238039,36.49744034
126.1673611,-59.19727564,36.50081992
126.1875,-59.1805172,36.50127053
126.2118056,-59.16227818,36.50137782
126.2576389,-59.13294554,36.50387764
126.3034722,-59.108634,36.51002526
126.3493056,-59.08869982,36.51846886
126.3951389,-59.06520367,36.52773857
126.4409722,-59.04582739,36.498878
126.4868056,-59.02100086,36.47754908
126.53125,-58.99525166,36.45428896
126.5791667,-58.96877289,36.43019199
126.6236111,-58.94456863,36.40390635
126.6694444,-58.94757271,36.36296511
126.6868056,-58.95046949,36.34411454
126.7152778,-58.95428896,36.31816149
126.7611111,-58.98540258,36.27253175
126.8069444,-59.04430389,36.22352242
126.8513889,-59.11861181,36.1698246
126.8972222,-59.20465708,36.11603022
126.9430556,-59.29529428,36.06577635
126.9895833,-59.38629627,36.01689577
127.0354167,-59.47150469,35.97372293
127.08125,-59.55381632,35.93829632
127.1270833,-59.62926149,35.91127038
127.1715278,-59.7014451,35.89382529
127.1875,-59.72335339,35.8895123
127.2173611,-59.76096869,35.88131547
127.2631944,-59.80864763,35.87130547
127.3090278,-59.85385895,35.86418152
127.3555556,-59.88982201,35.85733652
127.4013889,-59.91728783,35.85067391
127.4472222,-59.9426508,35.84661841
127.4916667,-59.9684,35.84323883
127.5375,-59.9936986,35.83864689
127.5833333,-60.01530647,35.83073974
127.6291667,-60.0301981,35.81731796
127.675,-60.04674196,35.79996943
127.6868056,-60.05124807,35.79431534
127.7208333,-60.06581783,35.78071117
127.7673611,-60.08558035,35.7633841
127.8118056,-60.10909796,35.74874997
127.8576389,-60.12787342,35.7342124
127.9034722,-60.14190674,35.72408438
127.9493056,-60.15435219,35.71882725
127.9951389,-60.16572475,35.71647763
128.0409722,-60.16040325,35.71530819
128.0868056,-60.14310837,35.72179914
128.13125,-60.11519194,35.72042584
128.1777778,-60.08502245,35.71286201
128.1875,-60.07875681,35.71093082
